,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2580,Kepler-250,Transit,,,19h18m22.74s,+44d08m31.0s,5160.0,,0.81
2581,Kepler-251,Transit,,,19h46m15.90s,+44d06m21.1s,5526.0,,0.89
2582,Kepler-251,Transit,,,19h46m15.90s,+44d06m21.1s,5526.0,,0.89
2583,Kepler-251,Transit,,,19h46m15.90s,+44d06m21.1s,5526.0,,0.89
2584,Kepler-251,Transit,,,19h46m15.90s,+44d06m21.1s,5526.0,,0.89
2585,Kepler-252,Transit,,,19h42m19.04s,+44d32m45.5s,4208.0,,0.55
2586,Kepler-252,Transit,,,19h42m19.04s,+44d32m45.5s,4208.0,,0.55
2587,Kepler-253,Transit,,,19h27m22.08s,+44d51m29.1s,5208.0,,0.79
2588,Kepler-253,Transit,,,19h27m22.08s,+44d51m29.1s,5208.0,,0.79
2589,Kepler-253,Transit,,,19h27m22.08s,+44d51m29.1s,5208.0,,0.79
2590,Kepler-254,Transit,,,19h12m39.53s,+45d48m59.4s,5957.0,,0.91
2591,Kepler-254,Transit,,,19h12m39.53s,+45d48m59.4s,5957.0,,0.91
2592,Kepler-254,Transit,,,19h12m39.53s,+45d48m59.4s,5957.0,,0.91
2593,Kepler-255,Transit,,,19h44m15.42s,+45d58m36.6s,5573.0,,0.93
2594,Kepler-255,Transit,,,19h44m15.42s,+45d58m36.6s,5573.0,,0.93
2595,Kepler-255,Transit,,,19h44m15.42s,+45d58m36.6s,5573.0,,0.93
2596,Kepler-256,Transit,,,19h30m19.31s,+46d05m50.6s,5551.0,,1.3
2597,Kepler-256,Transit,,,19h30m19.31s,+46d05m50.6s,5551.0,,1.3
2598,Kepler-256,Transit,,,19h30m19.31s,+46d05m50.6s,5551.0,,1.3
2599,Kepler-256,Transit,,,19h30m19.31s,+46d05m50.6s,5551.0,,1.3
2600,Kepler-257,Transit,,,19h49m15.84s,+46d01m23.8s,5180.0,,1.04
