,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
1007,HIP 97233,Radial Velocity,,,19h45m41.27s,-00d41m47.9s,5020.0,1.93,5.34
1008,HN Peg,Imaging,,,21h44m31.33s,+14d46m19.0s,5974.0,1.1,1.04
1009,HR 2562,Imaging,,,06h50m01.01s,-60d14m56.9s,,1.3,
1010,HR 5183,Radial Velocity,,,13h46m57.12s,+06d21m01.4s,5794.0,1.07,1.53
1011,HR 810,Radial Velocity,,,02h42m33.47s,-50d48m01.1s,6167.0,1.34,1.13
1012,HR 858,Transit,85.5,,02h51m56.25s,-30d48m52.3s,6201.0,1.15,1.31
1013,HR 858,Transit,86.23,,02h51m56.25s,-30d48m52.3s,6201.0,1.15,1.31
1014,HR 858,Transit,87.43,,02h51m56.25s,-30d48m52.3s,6201.0,1.15,1.31
1015,HR 8799,Imaging,,,23h07m28.72s,+21d08m03.3s,7400.0,,
1016,HR 8799,Imaging,,,23h07m28.72s,+21d08m03.3s,7400.0,,
1017,HR 8799,Imaging,,,23h07m28.72s,+21d08m03.3s,7400.0,,
1018,HR 8799,Imaging,25.0,,23h07m28.72s,+21d08m03.3s,7400.0,,
1019,HU Aqr,Eclipse Timing Variations,90.0,,21h07m58.19s,-05d17m40.5s,,0.88,
1020,HU Aqr,Eclipse Timing Variations,90.0,,21h07m58.19s,-05d17m40.5s,,0.88,
1021,HW Vir,Eclipse Timing Variations,80.9,,12h44m20.24s,-08d40m16.8s,,0.48,
1022,IC 4651 9122,Radial Velocity,,,17h24m50.07s,-49d56m56.1s,,2.1,
1023,iot Dra,Radial Velocity,,,15h24m55.77s,+58d57m57.8s,4530.0,1.05,
1024,K2-10,Transit,,2.6,11h28m29.27s,+01d41m26.3s,5620.0,0.92,0.98
1025,K2-100,Transit,,,08h38m24.30s,+20d06m21.8s,6168.0,1.23,1.22
1026,K2-101,Transit,89.4,,08h41m22.58s,+18d56m01.9s,4819.0,0.8,0.73
1027,K2-102,Transit,89.0,,08h40m13.45s,+19d46m43.7s,4695.0,0.77,0.71
1028,K2-104,Transit,88.0,,08h38m32.82s,+19d46m25.8s,3546.46,0.43,0.49
1029,K2-105,Transit,,,08h21m40.87s,+13d29m51.1s,5464.0,0.99,0.91
1030,K2-107,Transit,,,18h59m56.49s,-22d17m36.2s,6061.0,1.3,1.81
1031,K2-108,Transit,,,08h13m31.65s,+16d25m10.6s,5599.0,1.17,1.76
1032,K2-11,Transit,,,11h16m10.08s,+01d59m12.6s,5433.0,1.35,5.15
1033,K2-110,Transit,,,13h49m23.89s,-12d17m04.2s,4950.0,0.75,0.71
1034,K2-111,Transit,86.2,6.6,03h59m33.54s,+21d17m55.3s,5730.0,0.88,1.23
1035,K2-113,Transit,,,01h17m47.83s,+06d52m08.0s,5660.0,1.04,1.24
1036,K2-114,Transit,,,08h31m31.91s,+11d55m20.2s,5044.0,0.89,0.84
1037,K2-115,Transit,,,08h26m12.83s,+12d16m55.0s,5657.0,0.95,0.88
1038,K2-116,Transit,89.09,,22h24m36.39s,-11d34m43.3s,4348.35,0.69,0.67
1039,K2-117,Transit,,,08h55m25.36s,+10d28m08.9s,3778.0,0.54,0.51
1040,K2-117,Transit,,,08h55m25.36s,+10d28m08.9s,3778.0,0.54,0.51
1041,K2-118,Transit,89.5,,08h48m30.45s,+15d39m21.5s,4726.29,0.76,0.73
1042,K2-119,Transit,,,08h48m02.34s,+16d54m06.7s,4740.0,0.76,0.71
1043,K2-12,Transit,,,11h32m46.09s,+02d14m41.6s,5800.0,1.01,1.01
1044,K2-120,Transit,89.57,,08h48m34.32s,+17d11m26.5s,4349.9,0.69,0.67
1045,K2-121,Transit,,,08h27m44.81s,+17d34m45.8s,4551.0,0.72,0.68
1046,K2-122,Transit,,,08h25m54.31s,+20d21m34.5s,4027.0,0.62,0.6
1047,K2-123,Transit,,,08h57m46.60s,+21d27m12.7s,4035.0,0.62,0.59
1048,K2-124,Transit,89.03,,08h54m33.89s,+23d07m58.4s,3570.0,0.39,0.39
1049,K2-125,Transit,89.72,,13h36m34.11s,-14d56m51.4s,3654.47,0.49,0.4
1050,K2-126,Transit,,,13h34m11.17s,-13d34m36.9s,4339.0,0.69,0.65
1051,K2-127,Transit,,,13h48m18.81s,-11d35m20.3s,4575.0,0.72,0.66
1052,K2-128,Transit,87.4,,13h37m45.04s,-08d35m49.4s,4469.51,0.71,0.78
1053,K2-129,Transit,89.21,,19h16m35.60s,-25d38m41.9s,3459.09,0.36,0.36
1054,K2-13,Transit,,,11h20m37.33s,+02d30m09.7s,5698.0,0.8,0.78
1055,K2-130,Transit,86.53,,19h21m04.86s,-19d41m26.9s,4356.47,0.7,0.74
1056,K2-131,Transit,,,12h11m00.37s,-09d45m54.8s,5245.0,0.84,0.75
1057,K2-132,Transit,,,12h08m39.94s,-08d44m49.8s,4840.0,1.08,3.85
1058,K2-133,Transit,87.6,,04h40m35.66s,+25d00m36.0s,3655.0,0.46,0.46
1059,K2-133,Transit,88.21,,04h40m35.66s,+25d00m36.0s,3655.0,0.46,0.46
1060,K2-133,Transit,89.4,,04h40m35.66s,+25d00m36.0s,3655.0,0.46,0.46
1061,K2-133,Transit,89.164,,04h40m35.66s,+25d00m36.0s,3655.0,0.46,0.46
1062,K2-136,Transit,89.3,,04h29m38.99s,+22d52m57.8s,4499.0,0.74,0.66
1063,K2-136,Transit,89.6,,04h29m38.99s,+22d52m57.8s,4499.0,0.74,0.66
1064,K2-136,Transit,89.4,,04h29m38.99s,+22d52m57.8s,4499.0,0.74,0.66
1065,K2-137,Transit,89.6,,12h27m28.97s,-06d11m42.8s,3492.0,0.46,0.44
1066,K2-138,Transit,86.9,,23h15m47.77s,-10d50m58.9s,5378.0,0.93,0.86
1067,K2-138,Transit,87.5,,23h15m47.77s,-10d50m58.9s,5378.0,0.93,0.86
1068,K2-138,Transit,87.9,,23h15m47.77s,-10d50m58.9s,5378.0,0.93,0.86
1069,K2-138,Transit,88.7,,23h15m47.77s,-10d50m58.9s,5378.0,0.93,0.86
1070,K2-138,Transit,89.03,,23h15m47.77s,-10d50m58.9s,5378.0,0.93,0.86
1071,K2-139,Transit,,,19h16m15.97s,-17d54m38.5s,5370.0,0.96,0.88
1072,K2-14,Transit,,,11h52m13.69s,+02d35m39.3s,3789.0,0.47,0.45
1073,K2-140,Transit,,,12h32m32.96s,-09d36m27.5s,5705.0,1.0,0.99
1074,K2-141,Transit,86.3,8.2,23h23m39.97s,-01d11m21.4s,4599.0,0.71,0.68
1075,K2-141,Transit,87.2,,23h23m39.97s,-01d11m21.4s,4599.0,0.71,0.68
1076,K2-146,Transit,88.93,3.69,08h40m06.43s,+19d05m34.4s,3385.0,0.33,0.33
1077,K2-146,Transit,87.54,3.92,08h40m06.43s,+19d05m34.4s,3385.0,0.33,0.33
1078,K2-147,Transit,,,19h35m19.97s,-28d29m52.2s,3672.0,0.58,0.55
1079,K2-148,Transit,,,00h58m04.28s,-00d11m35.4s,4079.0,0.65,0.63
1080,K2-148,Transit,,,00h58m04.28s,-00d11m35.4s,4079.0,0.65,0.63
1081,K2-148,Transit,,,00h58m04.28s,-00d11m35.4s,4079.0,0.65,0.63
1082,K2-149,Transit,,,00h39m17.26s,+07d16m37.6s,3745.0,0.59,0.57
1083,K2-15,Transit,,,11h52m26.59s,+04d15m17.1s,5131.0,0.72,0.68
1084,K2-150,Transit,,,01h13m22.60s,+08d59m15.1s,3499.0,0.46,0.44
1085,K2-151,Transit,,,01h17m13.09s,+09d30m05.0s,3695.0,0.47,0.45
1086,K2-152,Transit,,,12h06m31.87s,-05d49m38.7s,4044.0,0.63,0.61
1087,K2-153,Transit,,,12h15m14.21s,+02d01m15.4s,3845.0,0.55,0.53
1088,K2-154,Transit,,,12h36m00.36s,-02d40m10.1s,4097.0,0.65,0.63
1089,K2-154,Transit,,,12h36m00.36s,-02d40m10.1s,4097.0,0.65,0.63
1090,K2-155,Transit,88.3,,04h21m52.49s,+21d21m13.0s,4258.0,0.65,0.58
1091,K2-155,Transit,88.96,,04h21m52.49s,+21d21m13.0s,4258.0,0.65,0.58
1092,K2-155,Transit,89.61,,04h21m52.49s,+21d21m13.0s,4258.0,0.65,0.58
1093,K2-156,Transit,,,12h10m48.04s,-06d17m39.1s,4597.0,0.66,0.66
1094,K2-157,Transit,76.711,,12h15m00.32s,-05d46m55.2s,5456.0,0.94,0.88
1095,K2-158,Transit,,,11h59m45.60s,-05d43m18.2s,5503.0,0.92,0.95
1096,K2-158,Transit,,,11h59m45.60s,-05d43m18.2s,5503.0,0.92,0.95
1097,K2-159,Transit,,,12h02m09.81s,-03d34m50.6s,5425.0,0.9,0.83
1098,K2-16,Transit,87.97,,11h40m23.34s,+04d33m26.4s,,0.67,
1099,K2-16,Transit,87.83,,11h40m23.34s,+04d33m26.4s,,0.67,
1100,K2-160,Transit,88.254,,12h16m13.10s,-03d33m11.1s,5649.0,0.98,0.91
1101,K2-161,Transit,87.251,,12h15m10.52s,-03d29m44.2s,4972.0,0.99,2.57
1102,K2-162,Transit,,,12h24m09.28s,-01d06m40.9s,4842.0,0.75,0.69
1103,K2-163,Transit,88.253,,12h09m19.04s,-00d32m20.6s,4937.0,0.83,0.76
1104,K2-164,Transit,87.89,,11h27m44.08s,-00d03m46.2s,5791.0,1.18,2.2
1105,K2-165,Transit,87.083,,12h19m36.08s,+00d58m06.2s,5185.0,0.83,0.8
1106,K2-165,Transit,87.054,,12h19m36.08s,+00d58m06.2s,5185.0,0.83,0.8
1107,K2-165,Transit,89.002,,12h19m36.08s,+00d58m06.2s,5185.0,0.83,0.8
1108,K2-166,Transit,,,12h20m45.19s,+02d16m56.8s,,1.07,
1109,K2-167,Transit,88.604,,22h26m18.19s,-18d00m40.2s,5908.0,1.02,1.83
1110,K2-168,Transit,89.4,,22h12m26.37s,-16d20m30.3s,5502.7,0.88,0.83
1111,K2-169,Transit,87.837,,22h28m10.63s,-14d35m57.8s,5548.0,0.99,0.92
1112,K2-17,Transit,,,11h53m19.15s,+06d24m44.1s,4320.0,0.71,0.66
1113,K2-170,Transit,87.989,,22h21m48.17s,-14d35m35.8s,5748.0,0.96,0.98
1114,K2-170,Transit,88.668,,22h21m48.17s,-14d35m35.8s,5748.0,0.96,0.98
1115,K2-171,Transit,85.048,,22h09m21.80s,-13d25m43.9s,5250.0,0.89,1.72
1116,K2-172,Transit,88.914,,22h21m14.01s,-12d33m24.8s,5569.0,0.93,0.87
1117,K2-172,Transit,89.497,,22h21m14.01s,-12d33m24.8s,5569.0,0.93,0.87
1118,K2-173,Transit,87.826,,04h01m29.99s,+15d37m30.1s,5580.0,0.88,0.84
1119,K2-174,Transit,89.95,,04h03m10.28s,+16d20m50.8s,4455.0,0.7,0.68
1120,K2-175,Transit,87.494,,03h30m00.86s,+17d35m03.1s,5909.0,1.09,1.42
1121,K2-176,Transit,88.063,,03h53m04.60s,+17d54m25.5s,5428.0,0.94,0.86
1122,K2-177,Transit,87.22,,03h40m55.10s,+20d44m09.9s,6063.0,1.21,1.21
1123,K2-178,Transit,88.611,,03h31m33.33s,+22d26m05.5s,5525.0,0.95,0.89
1124,K2-179,Transit,88.755,,03h55m11.26s,+23d45m24.5s,5015.0,0.82,0.77
1125,K2-18,Transit,,4.11,11h30m14.51s,+07d35m18.2s,3457.0,0.36,0.41
1126,K2-18,Radial Velocity,,,11h30m14.51s,+07d35m18.2s,3457.0,0.36,0.41
1127,K2-180,Transit,,,08h25m51.34s,+10d14m49.1s,5358.0,0.72,0.72
1128,K2-181,Transit,,,08h30m12.97s,+10d54m37.1s,5608.0,0.99,1.07
1129,K2-182,Transit,,,08h40m43.28s,+10d58m58.6s,5165.0,0.88,0.8
1130,K2-183,Transit,25.034,,08h20m01.72s,+14d01m10.1s,5519.0,0.93,0.97
1131,K2-183,Transit,,,08h20m01.72s,+14d01m10.1s,5519.0,0.93,0.97
1132,K2-183,Transit,,,08h20m01.72s,+14d01m10.1s,5519.0,0.93,0.97
1133,K2-184,Transit,,,08h36m33.63s,+14d27m43.0s,5220.0,0.86,0.78
1134,K2-185,Transit,88.932,,08h41m02.32s,+14d41m25.2s,5722.0,0.98,0.91
1135,K2-186,Transit,89.524,,09h01m20.39s,+18d49m31.6s,5784.0,1.02,0.98
1136,K2-187,Transit,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
1137,K2-187,Transit,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
1138,K2-187,Transit,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
1139,K2-187,Transit,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
1140,K2-188,Transit,,,08h39m15.27s,+23d21m26.9s,5977.0,1.06,1.19
1141,K2-188,Transit,,,08h39m15.27s,+23d21m26.9s,5977.0,1.06,1.19
1142,K2-189,Transit,,,13h34m29.11s,-15d02m10.9s,5519.0,0.94,0.87
1143,K2-189,Transit,,,13h34m29.11s,-15d02m10.9s,5519.0,0.94,0.87
1144,K2-19,Transit,89.47,,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86
1145,K2-19,Transit,87.99,,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86
1146,K2-19,Transit,85.83,,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86
1147,K2-190,Transit,88.357,,13h41m27.24s,-13d09m39.2s,5631.0,0.9,0.91
1148,K2-190,Transit,88.977,,13h41m27.24s,-13d09m39.2s,5631.0,0.9,0.91
1149,K2-191,Transit,87.051,,13h26m33.40s,-12d48m23.6s,5176.0,0.9,0.84
1150,K2-192,Transit,,,13h46m19.75s,-11d33m22.5s,5222.0,0.9,0.81
1151,K2-193,Transit,,,13h40m56.89s,-11d00m33.5s,5817.0,1.01,0.98
1152,K2-194,Transit,89.065,,13h38m26.14s,-08d55m37.7s,5979.0,1.11,1.28
1153,K2-195,Transit,,,13h19m19.56s,-08d30m34.1s,5713.0,0.94,0.99
1154,K2-195,Transit,88.537,,13h19m19.56s,-08d30m34.1s,5713.0,0.94,0.99
1155,K2-196,Transit,88.274,,13h21m49.52s,-08d28m18.2s,6045.0,1.16,1.54
1156,K2-197,Transit,,,13h29m34.48s,-07d22m26.4s,5667.0,1.0,0.93
1157,K2-198,Transit,88.904,,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76
1158,K2-198,Transit,86.494,,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76
1159,K2-198,Transit,89.86,,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76
1160,K2-199,Transit,,,13h55m36.41s,-06d08m10.1s,4648.0,0.73,0.68
1161,K2-199,Transit,,,13h55m36.41s,-06d08m10.1s,4648.0,0.73,0.68
1162,K2-200,Transit,87.968,,13h29m00.38s,-04d36m36.8s,5233.0,0.86,0.79
1163,K2-201,Transit,84.414,,19h34m14.58s,-23d07m51.7s,5507.0,0.96,0.88
1164,K2-201,Transit,89.272,,19h34m14.58s,-23d07m51.7s,5507.0,0.96,0.88
1165,K2-202,Transit,87.672,,18h53m03.43s,-22d24m25.3s,5491.0,0.97,0.91
1166,K2-203,Transit,88.43,,00h51m05.70s,-01d11m45.2s,5000.0,0.79,0.76
1167,K2-204,Transit,87.649,,01h09m31.81s,-00d31m03.4s,5755.0,1.01,1.18
1168,K2-205,Transit,89.097,,01h00m52.20s,+00d25m33.6s,5890.0,0.95,1.08
1169,K2-206,Transit,89.112,,00h45m01.52s,+00d35m35.7s,5043.0,0.79,0.76
1170,K2-207,Transit,88.62,,00h46m47.93s,+00d38m26.9s,5522.0,0.94,0.93
1171,K2-208,Transit,88.043,,01h23m06.98s,+00d53m21.0s,5582.0,0.93,0.86
1172,K2-209,Transit,86.231,,00h58m45.76s,+01d23m01.7s,4720.0,0.74,0.71
1173,K2-21,Transit,88.98,,22h41m12.88s,-14d29m20.4s,4222.06,0.68,0.65
1174,K2-21,Transit,88.85,,22h41m12.88s,-14d29m20.4s,4222.06,0.68,0.65
1175,K2-210,Transit,84.105,,01h10m33.82s,+01d34m41.8s,5396.0,0.91,0.85
1176,K2-211,Transit,81.569,,01h24m25.43s,+01d42m17.8s,5221.0,0.88,0.82
1177,K2-212,Transit,,,01h13m41.62s,+03d05m49.0s,4272.0,0.67,0.65
1178,K2-213,Transit,87.862,,00h52m33.67s,+03d30m27.7s,5794.0,1.07,1.2
1179,K2-214,Transit,,,00h59m30.26s,+04d13m40.1s,5854.0,1.05,1.27
1180,K2-215,Transit,88.984,,01h13m52.82s,+06d07m26.0s,5704.0,1.0,0.97
1181,K2-216,Transit,86.9,8.2,00h45m55.26s,+06d20m49.1s,4503.0,0.7,0.72
1182,K2-217,Transit,88.043,,00h45m11.61s,+06d28m53.6s,5967.0,1.1,1.33
1183,K2-218,Transit,88.453,,00h51m14.32s,+06d50m47.3s,5757.0,1.05,1.01
1184,K2-219,Transit,86.795,,00h51m22.87s,+08d52m03.5s,5753.0,1.02,1.19
1185,K2-219,Transit,87.269,,00h51m22.87s,+08d52m03.5s,5753.0,1.02,1.19
1186,K2-219,Transit,88.287,,00h51m22.87s,+08d52m03.5s,5753.0,1.02,1.19
1187,K2-22,Transit,,,11h17m55.88s,+02d37m08.7s,3830.0,0.6,0.57
1188,K2-220,Transit,,,00h51m04.77s,+09d31m00.5s,5660.0,0.96,1.02
1189,K2-221,Transit,85.447,,01h06m37.20s,+10d11m22.9s,5716.0,1.01,0.95
1190,K2-222,Transit,,,01h05m50.95s,+11d45m12.3s,6058.0,1.0,1.09
1191,K2-223,Transit,,,12h21m13.48s,-10d16m55.3s,5835.0,1.06,0.99
1192,K2-223,Transit,,,12h21m13.48s,-10d16m55.3s,5835.0,1.06,0.99
1193,K2-224,Transit,,,12h38m48.98s,-10d03m38.4s,5620.0,0.91,0.84
1194,K2-224,Transit,,,12h38m48.98s,-10d03m38.4s,5620.0,0.91,0.84
1195,K2-225,Transit,,,12h26m09.91s,-09d37m29.3s,5742.0,1.27,1.7
1196,K2-226,Transit,,,12h14m34.98s,-09d33m45.5s,5424.0,0.88,0.91
1197,K2-227,Transit,88.374,,12h43m47.63s,-08d28m41.7s,5673.0,0.95,0.89
1198,K2-228,Transit,,,12h29m10.75s,-06d50m03.3s,4715.0,0.71,0.65
1199,K2-229,Transit,,,12h27m29.58s,-06d43m18.7s,5315.0,0.87,0.79
1200,K2-229,Transit,,,12h27m29.58s,-06d43m18.7s,5315.0,0.87,0.79
1201,K2-230,Transit,,,12h45m27.17s,-06d34m34.0s,5945.0,1.11,1.39
1202,K2-231,Transit,88.6,,19h16m22.04s,-15d46m16.0s,5695.0,1.01,0.95
1203,K2-232,Transit,89.14,,04h55m03.96s,+18d39m16.3s,6154.0,1.19,1.16
1204,K2-233,Transit,88.79,,15h21m55.20s,-20d13m54.1s,4950.0,0.8,0.74
1205,K2-233,Transit,88.95,,15h21m55.20s,-20d13m54.1s,4950.0,0.8,0.74
1206,K2-233,Transit,89.35,,15h21m55.20s,-20d13m54.1s,4950.0,0.8,0.74
1207,K2-237,Transit,84.6,0.37,16h55m04.53s,-28d42m38.0s,6099.0,1.23,1.38
1208,K2-238,Transit,84.5,0.56,23h10m49.04s,-07d51m27.0s,5630.0,1.19,1.59
1209,K2-239,Transit,88.99,,10h42m22.63s,+04d26m28.9s,3420.0,0.4,0.36
1210,K2-239,Transit,88.77,,10h42m22.63s,+04d26m28.9s,3420.0,0.4,0.36
1211,K2-239,Transit,89.43,,10h42m22.63s,+04d26m28.9s,3420.0,0.4,0.36
1212,K2-24,Transit,,0.64,16h10m17.69s,-24d59m25.2s,5625.0,1.07,1.16
1213,K2-24,Transit,,0.2,16h10m17.69s,-24d59m25.2s,5625.0,1.07,1.16
1214,K2-240,Transit,89.26,,15h11m23.91s,-17d52m30.8s,3810.0,0.58,0.54
1215,K2-240,Transit,89.66,,15h11m23.91s,-17d52m30.8s,3810.0,0.58,0.54
1216,K2-241,Transit,,,12h04m57.45s,-06d48m17.7s,5262.0,0.71,0.75
1217,K2-242,Transit,,,11h59m20.62s,-06d31m04.3s,3459.0,0.38,0.37
1218,K2-243,Transit,,,12h04m29.14s,-04d53m57.1s,6570.0,1.29,1.39
1219,K2-243,Transit,,,12h04m29.14s,-04d53m57.1s,6570.0,1.29,1.39
1220,K2-244,Transit,,,12h13m52.54s,-03d49m54.7s,5677.0,0.86,0.92
1221,K2-245,Transit,,,12h20m43.60s,-01d35m27.2s,5793.0,0.83,1.25
1222,K2-246,Transit,,,12h06m31.13s,-01d09m38.0s,5610.0,0.87,0.94
1223,K2-247,Transit,,,12h35m34.49s,-10d04m09.2s,4667.0,0.74,0.69
1224,K2-247,Transit,,,12h35m34.49s,-10d04m09.2s,4667.0,0.74,0.69
1225,K2-248,Transit,,,12h11m16.14s,-09d24m50.4s,5528.0,0.88,0.92
1226,K2-249,Transit,,,12h13m28.00s,-08d59m42.4s,6504.0,1.32,1.57
1227,K2-25,Transit,88.3,,04h13m05.62s,+15d14m51.9s,3180.0,0.29,0.29
1228,K2-250,Transit,,,12h20m07.62s,-08d58m32.8s,5172.0,0.8,0.81
1229,K2-251,Transit,,,12h42m45.41s,-08d32m09.3s,3717.0,0.52,0.49
1230,K2-252,Transit,,,12h09m27.93s,-08d18m34.3s,5152.0,0.79,0.82
1231,K2-253,Transit,,,12h24m20.50s,-06d22m44.0s,6027.0,1.08,1.1
1232,K2-254,Transit,,,12h22m12.18s,-04d43m02.0s,4629.0,0.71,0.67
1233,K2-254,Transit,,,12h22m12.18s,-04d43m02.0s,4629.0,0.71,0.67
1234,K2-255,Transit,,,12h39m39.12s,-03d22m14.0s,4676.0,0.71,0.69
1235,K2-256,Transit,,,12h24m54.52s,-02d03m57.4s,5219.0,0.84,0.78
1236,K2-257,Transit,,,12h33m06.84s,-01d57m11.4s,3725.0,0.52,0.5
1237,K2-258,Transit,,,12h30m31.52s,-01d09m39.3s,6351.0,1.21,1.31
1238,K2-259,Transit,,,12h27m12.65s,+01d34m00.7s,6059.0,1.14,1.13
1239,K2-26,Transit,88.4,,06h16m49.58s,+24d35m47.1s,3785.0,0.56,0.52
1240,K2-260,Transit,88.67,0.5,05h07m28.16s,+16d52m03.8s,6367.0,1.39,1.69
1241,K2-261,Transit,88.4,0.483,10h52m07.78s,+00d29m36.1s,5537.0,1.1,1.65
1242,K2-263,Transit,89.24,5.7,08h38m43.77s,+15d40m50.3s,5368.0,0.88,0.85
1243,K2-264,Transit,89.01,,08h45m26.06s,+19d41m54.5s,3660.0,0.5,0.47
1244,K2-264,Transit,89.38,,08h45m26.06s,+19d41m54.5s,3660.0,0.5,0.47
1245,K2-265,Transit,87.7,7.1,22h48m07.57s,-14d29m40.9s,5477.0,0.92,0.98
1246,K2-266,Transit,75.32,1.77,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7
1247,K2-266,Transit,88.28,4.51,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7
1248,K2-266,Transit,89.46,2.03,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7
1249,K2-266,Transit,89.45,2.21,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7
1250,K2-268,Transit,,,08h54m50.29s,+11d50m53.8s,5068.0,0.84,0.78
1251,K2-268,Transit,,,08h54m50.29s,+11d50m53.8s,5068.0,0.84,0.78
1252,K2-269,Transit,,,08h40m37.24s,+13d00m52.8s,6209.0,1.16,1.45
1253,K2-27,Transit,,1.87,11h26m03.64s,+01d13m50.7s,5248.0,0.87,0.89
1254,K2-270,Transit,,,08h45m03.98s,+13d32m59.4s,4877.0,0.85,0.77
1255,K2-270,Transit,,,08h45m03.98s,+13d32m59.4s,4877.0,0.85,0.77
1256,K2-271,Transit,,,08h20m53.73s,+16d05m27.4s,5644.0,0.83,0.99
1257,K2-272,Transit,,,08h50m29.07s,+17d32m32.8s,5419.0,0.81,0.81
1258,K2-273,Transit,,,08h39m06.49s,+19d00m36.1s,5200.0,0.9,0.84
1259,K2-274,Transit,,,08h37m07.79s,+20d23m57.7s,5065.0,0.81,0.74
1260,K2-275,Transit,,,08h48m40.77s,+20d27m18.3s,4812.0,0.79,0.73
1261,K2-275,Transit,,,08h48m40.77s,+20d27m18.3s,4812.0,0.79,0.73
1262,K2-276,Transit,,,08h23m48.66s,+22d38m02.5s,5139.0,0.82,0.85
1263,K2-277,Transit,,,13h28m03.99s,-15d56m16.2s,5741.0,1.02,0.97
1264,K2-278,Transit,,,13h33m12.43s,-14d30m14.6s,6747.0,1.4,1.61
1265,K2-279,Transit,,,13h39m07.13s,-06d02m29.7s,5558.0,0.79,0.86
1266,K2-28,Transit,88.9,,22h22m29.85s,-07d57m19.3s,3214.0,0.26,0.29
1267,K2-280,Transit,,,19h26m22.88s,-22d14m51.6s,5742.0,1.11,1.28
1268,K2-281,Transit,,,01h04m54.56s,+07d16m09.2s,4812.0,0.82,0.76
1269,K2-282,Transit,,,00h53m43.68s,+07d59m43.1s,,0.94,
1270,K2-283,Transit,,,00h52m46.66s,+09d41m34.5s,5060.0,0.89,0.82
1271,K2-284,Transit,89.0,,05h16m33.76s,+20d15m18.4s,4140.0,0.63,0.61
1272,K2-285,Transit,86.846,3.07,23h17m32.23s,+01d18m01.0s,4975.0,0.83,0.79
1273,K2-285,Transit,89.861,1.95,23h17m32.23s,+01d18m01.0s,4975.0,0.83,0.79
1274,K2-285,Transit,89.643,,23h17m32.23s,+01d18m01.0s,4975.0,0.83,0.79
1275,K2-285,Transit,89.799,,23h17m32.23s,+01d18m01.0s,4975.0,0.83,0.79
1276,K2-286,Transit,89.67,,15h33m28.70s,-16d46m23.7s,3926.0,0.64,0.62
1277,K2-287,Transit,88.13,,15h32m17.84s,-22d21m29.7s,5695.0,1.06,1.07
1278,K2-288 B,Transit,89.81,,03h41m46.43s,+18d16m08.0s,3341.0,0.33,0.32
1279,K2-289,Transit,88.48,,16h26m34.33s,-15d47m32.6s,5529.0,0.95,1.02
1280,K2-29,Transit,86.656,0.53,04h10m40.96s,+24d24m07.4s,5358.0,0.94,0.86
1281,K2-290,Transit,88.14,4.1,15h39m25.87s,-20d11m55.7s,6302.0,1.19,1.51
1282,K2-290,Transit,89.37,1.01,15h39m25.87s,-20d11m55.7s,6302.0,1.19,1.51
1283,K2-291,Transit,85.26,8.84,05h05m46.99s,+21d32m55.1s,5520.0,0.93,0.9
1284,K2-292,Transit,88.4,7.4,13h41m30.30s,-09d56m45.9s,5725.0,1.0,1.09
1285,K2-293,Transit,88.8,,23h26m25.52s,-06d01m40.4s,5532.0,0.96,0.95
1286,K2-294,Transit,85.5,,23h28m12.40s,-07d36m13.3s,5612.0,0.99,1.2
1287,K2-295,Transit,89.3,0.612,01h18m26.38s,+06d49m00.7s,4444.0,0.74,0.7
1288,K2-3,Transit,89.588,3.7,11h29m20.39s,-01d27m17.2s,3896.0,0.6,0.56
1289,K2-3,Transit,89.905,2.98,11h29m20.39s,-01d27m17.2s,3896.0,0.6,0.56
1290,K2-3,Transit,89.788,5.62,11h29m20.39s,-01d27m17.2s,3896.0,0.6,0.56
1291,K2-30,Transit,86.92,0.64,03h29m22.07s,+22d17m57.9s,5425.0,0.9,0.84
1292,K2-308,Transit,88.44,,05h13m21.39s,+16d24m51.1s,6100.0,1.09,1.24
1293,K2-31,Transit,79.9,,16h21m45.78s,-23d32m52.3s,5280.0,0.91,0.78
1294,K2-315,Transit,88.74,,15h12m05.20s,-20d06m30.7s,3300.0,0.17,0.2
1295,K2-316,Transit,87.02,,15h34m29.94s,-23d15m33.2s,3436.0,0.41,0.38
1296,K2-316,Transit,89.31,,15h34m29.94s,-23d15m33.2s,3436.0,0.41,0.38
1297,K2-317,Transit,89.22,,15h14m28.63s,-21d01m21.8s,3387.0,0.4,0.38
